# Rime user dictionary
#@/db_name	wubi86_jidian.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8083
#@/user_id	70ef9364-8391-414d-98f4-a1f5a8757344
a 	工	c=3 d=1 t=7750
aa 	式	c=2 d=1.97045 t=1533
aa 	戒	c=1 d=1 t=1479
aadg 	工厂	c=1 d=0.1 t=7751
aauq 	工资	c=5 d=0.162456 t=4556
aawt 	工作	c=4 d=0.138069 t=8083
ab 	节	c=2 d=1 t=5029
abhh 	节目	c=1 d=1 t=4738
abhk 	节点	c=1 d=1 t=3265
ack 	苔	c=1 d=1 t=2036
ad 	基	c=1 d=1 t=4229
adfh 	基址	c=1 d=1 t=4253
adh 	荐	c=1 d=1 t=4647
adhf 	茬	c=1 d=1 t=5662
adk 	若	c=1 d=0.951229 t=8083
adm 	项	c=7 d=2.37244 t=4379
adpx 	其它	c=3 d=1.05765 t=5752
aduq 	其次	c=1 d=0.035437 t=8083
adwe 	期	c=2 d=0.120032 t=8083
ae 	菜	c=1 d=1 t=1055
aes 	菜	c=3 d=1 t=7141
afd 	甘	c=1 d=1 t=742
afi 	蒜	c=1 d=1 t=2035
ag 	七	c=2 d=1.00089 t=3761
agat 	茉莉	c=2 d=1.97045 t=2296
aggd 	七天	c=3 d=2.8053 t=2383
agjs 	苹果	c=2 d=0.10435 t=8083
agmw 	黃	c=1 d=0.121846 t=8083
agq 	葬	c=1 d=0.0368832 t=8083
ahtb 	邪	c=1 d=1 t=3425
ahty 	雅	c=1 d=1 t=4393
ai 	东	c=2 d=0.565525 t=8083
aib 	范	c=1 d=1 t=871
aifm 	东南	c=1 d=1 t=3664
aisg 	东西	c=2 d=1.00023 t=6195
ait 	落	c=1 d=1 t=3575
aiuk 	东部	c=1 d=1 t=4451
ajat 	草莓	c=1 d=1 t=4787
ajd 	莫	c=1 d=1 t=5338
ajq 	葛	c=1 d=1 t=5468
ajtl 	蓝	c=1 d=1 t=2934
ak 	或	c=3 d=1 t=8055
alce 	功能	c=9 d=0.802066 t=8083
alp 	莲	c=1 d=1 t=803
amd 	英	c=1 d=1 t=3034
amdx 	恐龙	c=1 d=1 t=6940
ammm 	黄山	c=10 d=2.6365 t=8083
amw 	黄	c=5 d=0.144424 t=8083
amyg 	英语	c=2 d=1.00087 t=7894
anb 	艺	c=1 d=1 t=1449
apgg 	萱	c=1 d=1 t=820
apud 	营养	c=2 d=1.97531 t=1266
aq 	区	c=13 d=0.895743 t=8083
aqaq 	葡萄	c=2 d=1.96079 t=1031
aqbc 	获取	c=1 d=1 t=8075
aqkl 	区别	c=2 d=1 t=6762
aqog 	敬业	c=1 d=1 t=2963
aqrn 	葱	c=2 d=1.20909 t=1372
atag 	蓬莱	c=1 d=1 t=2971
atm 	薇	c=1 d=1 t=3226
au 	燕	c=1 d=1 t=3136
ave 	茛	c=1 d=1 t=7846
aw 	共	c=1 d=1 t=4468
awnb 	巷	c=1 d=1 t=5469
aws 	茶	c=2 d=1.3413 t=2671
awtg 	花生	c=1 d=1 t=6375
awx 	花	c=4 d=1.97531 t=6979
awyb 	共享	c=8 d=2.94134 t=7560
ay 	芳	c=1 d=1 t=873
ayjs 	芒果	c=1 d=1 t=6831
b 	了	c=173 d=4.83631 t=8083
bb 	子	c=11 d=0.857565 t=8083
bc 	取	c=4 d=1.31351 t=6851
bcrx 	取指	c=1 d=1 t=7593
bct 	聚	c=3 d=1.35227 t=8083
bd 	承	c=1 d=1 t=856
bdep 	随	c=2 d=0.707361 t=8083
bdsm 	随机	c=2 d=1.96561 t=4327
bdwg 	随便	c=1 d=1 t=5451
beng 	阴司	c=1 d=1 t=801
bepf 	阻塞	c=4 d=2.98035 t=7418
bg 	卫	c=1 d=1 t=2007
bgpy 	卫视	c=1 d=1 t=4829
bgtg 	卫生	c=1 d=1 t=2987
bgyb 	隔离	c=2 d=1 t=4965
bi 	孙	c=2 d=0.127454 t=8083
bj 	阳	c=1 d=1 t=3049
bjiq 	阳光	c=1 d=1 t=1010
bm 	出	c=6 d=0.371577 t=8083
bmgo 	出来	c=1 d=1 t=5289
bmqk 	出名	c=1 d=1 t=2693
bmuy 	出门	c=1 d=1 t=5899
bn 	也	c=32 d=0.830183 t=8083
bpf 	院	c=1 d=1 t=2085
bq 	聊	c=1 d=1 t=2822
bs 	阿	c=4 d=1.02092 t=5815
bsjf 	阿里	c=5 d=0.0347353 t=8083
buqk 	联名	c=2 d=1.99005 t=966
busm 	联机	c=3 d=1.01341 t=7578
butx 	联系	c=1 d=1 t=7474
bve 	限	c=7 d=2.51007 t=7426
bwbn 	除了	c=1 d=1 t=6701
bwdj 	除非	c=1 d=1 t=1769
bwf 	附	c=1 d=0.0706512 t=8083
bwgq 	队列	c=2 d=1.52994 t=7458
by 	防	c=1 d=1 t=3125
bybb 	孩子	c=4 d=1 t=7014
byii 	防水	c=1 d=1 t=3130
c 	以	c=35 d=1.16588 t=8083
ca 	戏	c=2 d=1 t=6553
cafc 	驱动	c=3 d=1.46709 t=5525
caif 	戏法	c=1 d=1 t=1647
cbby 	预防	c=1 d=1 t=7999
cbxq 	预约	c=2 d=1.58567 t=2112
ccc 	又	c=3 d=1 t=6956
cds 	骑	c=3 d=1 t=5490
ce 	能	c=2 d=1 t=3701
ceet 	通用	c=2 d=1.59156 t=7419
celt 	能力	c=1 d=1 t=7966
cep 	通	c=3 d=1.04416 t=5740
ceum 	通商	c=1 d=0.15259 t=8083
cewy 	通信	c=5 d=3.41366 t=7433
cex 	能	c=39 d=1.15509 t=8083
cexx 	能	c=2 d=1.00012 t=3601
cf 	对	c=21 d=1.48645 t=8083
cfkg 	对号	c=1 d=1 t=4456
cfrq 	对换	c=3 d=1.02714 t=4138
cftq 	对称	c=2 d=1.99005 t=7978
ck 	台	c=4 d=0.138761 t=8083
cncn 	巴巴	c=1 d=1 t=4001
cnh 	巴	c=2 d=1.99501 t=3977
cod 	⒈	c=2 d=1.99501 t=2522
cqel 	鸡肋	c=1 d=1 t=6665
cqnh 	鸡蛋	c=1 d=1 t=6834
cqog 	鸡精	c=1 d=1 t=2074
cqy 	鸡	c=1 d=1 t=1861
cwut 	难道	c=1 d=0.107555 t=5679
cwy 	难	c=2 d=1.00135 t=5404
cwyg 	难	c=2 d=1.07208 t=5678
cwyg 	验证	c=1 d=1 t=6843
cyab 	圣诞节	c=1 d=0.657047 t=8083
d 	在	c=43 d=1.94402 t=8083
da 	左	c=1 d=1 t=5919
dadk 	左右	c=1 d=1 t=6888
dc 	友	c=3 d=1 t=6848
dcg 	码	c=2 d=0.0291588 t=8083
