# Rime user dictionary
#@/db_name	wubi86_jidian.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	724
#@/user_id	70ef9364-8391-414d-98f4-a1f5a8757344
aawt 	工作	c=1 d=1 t=328
adk 	若	c=1 d=1 t=714
aduq 	其次	c=1 d=1 t=56
adwe 	期	c=1 d=1 t=300
agjs 	苹果	c=1 d=1 t=272
agmw 	黃	c=1 d=1 t=303
agq 	葬	c=1 d=1 t=64
ai 	东	c=1 d=1 t=610
alce 	功能	c=2 d=1.12124 t=657
ammm 	黄山	c=9 d=8.0402 t=501
amw 	黄	c=1 d=1 t=337
aq 	区	c=3 d=2.85736 t=492
b 	了	c=17 d=6.27235 t=672
bb 	子	c=2 d=1.85214 t=570
bct 	聚	c=3 d=2.62948 t=591
bdep 	随	c=2 d=1.10383 t=635
bi 	孙	c=1 d=1 t=312
bm 	出	c=1 d=1 t=526
bn 	也	c=2 d=1.12063 t=664
bsjf 	阿里	c=1 d=1 t=52
bwf 	附	c=1 d=1 t=194
c 	以	c=5 d=1.83763 t=633
ceum 	通商	c=1 d=1 t=348
cex 	能	c=3 d=1.81184 t=420
cf 	对	c=3 d=2.05729 t=659
ck 	台	c=1 d=1 t=329
cyab 	圣诞节	c=1 d=1 t=640
d 	在	c=3 d=1.55917 t=682
dcg 	码	c=1 d=1 t=17
dd 	大	c=3 d=1.56822 t=636
ddu 	套	c=1 d=1 t=79
dg 	三	c=2 d=1.90484 t=442
dgwh 	三个	c=1 d=1 t=436
djvt 	百姓	c=1 d=1 t=95
dm 	面	c=1 d=1 t=308
dn 	成	c=1 d=1 t=36
dw 	春	c=1 d=1 t=270
e 	有	c=11 d=4.28334 t=692
eee 	月	c=1 d=1 t=298
efsg 	脚本	c=1 d=1 t=698
et 	用	c=8 d=3.12339 t=689
f 	土	c=2 d=1.64404 t=151
f 	地	c=3 d=1.35501 t=511
faud 	裁判	c=1 d=1 t=378
fbqr 	地铁	c=1 d=1 t=178
fcl 	动	c=1 d=1 t=450
fcu 	去	c=5 d=2.01132 t=500
fg 	二	c=1 d=1 t=327
fgh 	十	c=1 d=1 t=134
fhg 	址	c=1 d=1 t=176
fhl 	盐	c=1 d=1 t=29
fhru 	直接	c=1 d=1 t=34
fhu 	走	c=1 d=1 t=503
fhw 	真	c=1 d=1 t=69
fhym 	超市	c=1 d=1 t=197
fjf 	埋	c=1 d=1 t=65
